PROVIDER$CODE_;PROVIDERPRICEDVALUECODE_;PRICEDATE;NAV_;CLOSE_;Nom
SIXTELEKURS;MA0000036659;28/12/2016;1322.75;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;29/12/2016;1322.82;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;30/12/2016;1322.89;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;02/01/2017;1323.11;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;03/01/2017;1323.18;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;04/01/2017;1323.26;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;05/01/2017;1323.33;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;06/01/2017;1323.4;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;09/01/2017;1323.62;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;10/01/2017;1323.69;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;12/01/2017;1323.84;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;13/01/2017;1323.91;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;16/01/2017;1324.12;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;17/01/2017;1324.2;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;18/01/2017;1324.27;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;19/01/2017;1324.34;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;20/01/2017;1324.41;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;23/01/2017;1324.62;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;24/01/2017;1324.7;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;25/01/2017;1324.77;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;26/01/2017;1324.84;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;27/01/2017;1324.9;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;30/01/2017;1325.11;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;31/01/2017;1325.18;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;01/02/2017;1325.25;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;02/02/2017;1325.33;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;03/02/2017;1325.4;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;06/02/2017;1325.61;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;07/02/2017;1325.68;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;08/02/2017;1325.76;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;09/02/2017;1325.84;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;10/02/2017;1325.91;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;13/02/2017;1326.12;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;14/02/2017;1326.19;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;15/02/2017;1326.27;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;16/02/2017;1326.34;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;17/02/2017;1326.41;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;20/02/2017;1326.62;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;21/02/2017;1326.69;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;22/02/2017;1326.76;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;23/02/2017;1326.83;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;24/02/2017;1326.9;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;27/02/2017;1327.1;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;28/02/2017;1327.17;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;01/03/2017;1327.24;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;02/03/2017;1327.31;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;03/03/2017;1327.38;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;06/03/2017;1327.58;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;07/03/2017;1327.65;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;08/03/2017;1327.72;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;09/03/2017;1327.79;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;10/03/2017;1327.86;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;13/03/2017;1328.07;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;14/03/2017;1328.13;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;15/03/2017;1328.2;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;16/03/2017;1328.27;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;17/03/2017;1328.34;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;20/03/2017;1328.55;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;21/03/2017;1328.62;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;22/03/2017;1328.69;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;23/03/2017;1328.76;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;24/03/2017;1328.83;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;27/03/2017;1329.03;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;28/03/2017;1329.11;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;29/03/2017;1329.17;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;30/03/2017;1329.24;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;31/03/2017;1329.31;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;03/04/2017;1329.52;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;04/04/2017;1329.59;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;05/04/2017;1329.66;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;06/04/2017;1329.73;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;07/04/2017;1329.8;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;10/04/2017;1330.02;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;11/04/2017;1330.09;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;12/04/2017;1330.16;;FCP ATTIJARI LIQUIDITE
