PROVIDER$CODE_;PROVIDERPRICEDVALUECODE_;PRICEDATE;NAV_;CLOSE_
SIXTELEKURS;MA0000030520;15/12/2017;490.41;
SIXTELEKURS;MA0000030553;15/12/2017;4817.57;
SIXTELEKURS;MA0000040180;19/12/2017;170.85;
SIXTELEKURS;MA0000040271;19/12/2017;173736.72;
SIXTELEKURS;MA0000040339;19/12/2017;208.59;
SIXTELEKURS;MA0000030645;15/12/2017;8334.15;
SIXTELEKURS;MA0000040156;29/12/2017;814.94;
SIXTELEKURS;MA0000040180;29/12/2017;170.91;
SIXTELEKURS;MA0000036048;15/12/2017;191.07;
SIXTELEKURS;MA0000036063;15/12/2017;602.53;
SIXTELEKURS;MA0000030645;29/12/2017;8327.47;
SIXTELEKURS;MA0000040263;29/12/2017;1900.33;
SIXTELEKURS;MA0000040271;29/12/2017;173834.9;
SIXTELEKURS;MA0000040339;29/12/2017;208.66;
SIXTELEKURS;MA0000040388;29/12/2017;151.45;
SIXTELEKURS;MA0000036659;15/12/2017;1347.99;
SIXTELEKURS;MA0000036048;29/12/2017;191.13;
SIXTELEKURS;MA0000036063;29/12/2017;602.04;
SIXTELEKURS;MA0000040180;27/12/2017;170.89;
SIXTELEKURS;MA0000041139;29/12/2017;782.06;
SIXTELEKURS;MA0000030553;28/12/2017;4819.54;
SIXTELEKURS;MA0000036048;28/12/2017;191.11;
SIXTELEKURS;MA0000036659;29/12/2017;1348.98;
SIXTELEKURS;MA0000036659;28/12/2017;1348.91;
SIXTELEKURS;MA0000040156;15/12/2017;809.67;
SIXTELEKURS;MA0000040180;15/12/2017;170.83;
SIXTELEKURS;MA0000040263;15/12/2017;1902.19;
SIXTELEKURS;MA0000040271;15/12/2017;173706.66;
SIXTELEKURS;MA0000030553;19/12/2017;4818.06;
SIXTELEKURS;MA0000036659;19/12/2017;1348.26;
SIXTELEKURS;MA0000030520;22/12/2017;488.03;
SIXTELEKURS;MA0000030553;22/12/2017;4818.92;
SIXTELEKURS;MA0000030645;22/12/2017;8215.21;
SIXTELEKURS;MA0000036659;22/12/2017;1348.5;
SIXTELEKURS;MA0000036659;25/12/2017;1348.71;
SIXTELEKURS;MA0000040339;25/12/2017;208.63;
SIXTELEKURS;MA0000036048;25/12/2017;191.15;
SIXTELEKURS;MA0000030553;25/12/2017;4819.23;
SIXTELEKURS;MA0000040271;25/12/2017;173792.9;
SIXTELEKURS;MA0000030553;26/12/2017;4819.4;
SIXTELEKURS;MA0000036048;26/12/2017;191.16;
SIXTELEKURS;MA0000036659;20/12/2017;1348.35;
SIXTELEKURS;MA0000040339;20/12/2017;208.59;
SIXTELEKURS;MA0000036048;20/12/2017;191.08;
SIXTELEKURS;MA0000036659;26/12/2017;1348.78;
SIXTELEKURS;MA0000030553;20/12/2017;4818.4;
SIXTELEKURS;MA0000040271;20/12/2017;173748.71;
SIXTELEKURS;MA0000030553;18/12/2017;4818.2;
SIXTELEKURS;MA0000036048;18/12/2017;191.08;
SIXTELEKURS;MA0000036659;18/12/2017;1348.21;
SIXTELEKURS;MA0000036659;27/12/2017;1348.86;
SIXTELEKURS;MA0000040339;27/12/2017;208.65;
SIXTELEKURS;MA0000036048;27/12/2017;191.12;
SIXTELEKURS;MA0000030553;27/12/2017;4819.6;
SIXTELEKURS;MA0000040271;27/12/2017;173813.57;
SIXTELEKURS;MA0000040156;22/12/2017;801.18;
SIXTELEKURS;MA0000040180;22/12/2017;170.88;
SIXTELEKURS;MA0000040263;22/12/2017;1901.13;
SIXTELEKURS;MA0000040271;22/12/2017;173773.13;
SIXTELEKURS;MA0000040339;22/12/2017;208.61;
SIXTELEKURS;MA0000040388;22/12/2017;151.32;
SIXTELEKURS;MA0000040180;20/12/2017;170.85;
SIXTELEKURS;MA0000040180;18/12/2017;170.85;
SIXTELEKURS;MA0000040271;18/12/2017;173735.31;
SIXTELEKURS;MA0000040339;18/12/2017;208.58;
SIXTELEKURS;MA0000036048;22/12/2017;191.12;
SIXTELEKURS;MA0000036063;22/12/2017;593.99;
SIXTELEKURS;MA0000040180;25/12/2017;170.92;
SIXTELEKURS;MA0000041139;22/12/2017;771.59;
SIXTELEKURS;MA0000040180;26/12/2017;170.93;
SIXTELEKURS;MA0000040271;26/12/2017;173803.35;
SIXTELEKURS;MA0000040339;26/12/2017;208.64;
SIXTELEKURS;MA0000040271;14/12/2017;173700.17;
SIXTELEKURS;MA0000040180;14/12/2017;170.84;
SIXTELEKURS;MA0000040180;21/12/2017;170.85;
SIXTELEKURS;MA0000036659;21/12/2017;1348.43;
SIXTELEKURS;MA0000040339;21/12/2017;208.6;
SIXTELEKURS;MA0000036048;21/12/2017;191.08;
SIXTELEKURS;MA0000030553;21/12/2017;4818.62;
SIXTELEKURS;MA0000040271;21/12/2017;173757.75;
SIXTELEKURS;MA0000036048;08/01/2018;191.23;
SIXTELEKURS;MA0000040339;16/01/2018;208.82;
SIXTELEKURS;MA0000036659;08/01/2018;1349.73;
SIXTELEKURS;MA0000040156;19/01/2018;860.54;
SIXTELEKURS;MA0000040180;19/01/2018;171.08;
SIXTELEKURS;MA0000040263;19/01/2018;1897.97;
SIXTELEKURS;MA0000040271;19/01/2018;174043.58;
SIXTELEKURS;MA0000040180;08/01/2018;171;
SIXTELEKURS;MA0000040271;08/01/2018;173938.85;
SIXTELEKURS;MA0000040339;08/01/2018;208.75;
SIXTELEKURS;MA0000036659;15/01/2018;1350.25;
SIXTELEKURS;MA0000040339;15/01/2018;208.81;
SIXTELEKURS;MA0000036048;15/01/2018;191.3;
SIXTELEKURS;MA0000030553;15/01/2018;4823.94;
SIXTELEKURS;MA0000030645;19/01/2018;8651.7;
SIXTELEKURS;MA0000040271;15/01/2018;174016.71;
SIXTELEKURS;MA0000040180;15/01/2018;171.09;
SIXTELEKURS;MA0000030553;18/01/2018;4824.5;
SIXTELEKURS;MA0000036048;19/01/2018;191.29;
SIXTELEKURS;MA0000036063;19/01/2018;625.53;
SIXTELEKURS;MA0000036048;18/01/2018;191.34;
SIXTELEKURS;MA0000036659;18/01/2018;1350.45;
SIXTELEKURS;MA0000030520;19/01/2018;497.1;
SIXTELEKURS;MA0000030553;19/01/2018;4824.51;
SIXTELEKURS;MA0000036048;16/01/2018;191.31;
SIXTELEKURS;MA0000036659;16/01/2018;1350.31;
SIXTELEKURS;MA0000030553;17/01/2018;4824.33;
SIXTELEKURS;MA0000036048;17/01/2018;191.28;
SIXTELEKURS;MA0000036659;19/01/2018;1350.52;
SIXTELEKURS;MA0000040180;18/01/2018;171.13;
SIXTELEKURS;MA0000040271;18/01/2018;174043.22;
SIXTELEKURS;MA0000040339;18/01/2018;208.84;
SIXTELEKURS;MA0000036659;17/01/2018;1350.38;
SIXTELEKURS;MA0000040180;16/01/2018;171.1;
SIXTELEKURS;MA0000040271;16/01/2018;174024.58;
SIXTELEKURS;MA0000030553;10/01/2018;4822.59;
SIXTELEKURS;MA0000036048;10/01/2018;191.24;
SIXTELEKURS;MA0000030553;08/01/2018;4822.11;
SIXTELEKURS;MA0000040180;17/01/2018;171.05;
SIXTELEKURS;MA0000040271;17/01/2018;174033.19;
SIXTELEKURS;MA0000040339;17/01/2018;208.83;
SIXTELEKURS;MA0000036659;10/01/2018;1349.88;
SIXTELEKURS;MA0000036659;05/01/2018;1349.51;
SIXTELEKURS;MA0000036048;12/01/2018;191.26;
SIXTELEKURS;MA0000036063;12/01/2018;614.4;
SIXTELEKURS;MA0000040156;05/01/2018;829.11;
SIXTELEKURS;MA0000036659;12/01/2018;1350.03;
SIXTELEKURS;MA0000040180;05/01/2018;170.98;
SIXTELEKURS;MA0000040263;05/01/2018;1897.45;
SIXTELEKURS;MA0000040271;05/01/2018;173912.76;
SIXTELEKURS;MA0000040339;05/01/2018;208.73;
SIXTELEKURS;MA0000040388;05/01/2018;151.34;
SIXTELEKURS;MA0000030553;16/01/2018;4824.16;
SIXTELEKURS;MA0000030553;04/01/2018;4821.31;
SIXTELEKURS;MA0000036048;04/01/2018;191.2;
SIXTELEKURS;MA0000041139;05/01/2018;795.36;
SIXTELEKURS;MA0000036659;04/01/2018;1349.43;
SIXTELEKURS;MA0000036659;09/01/2018;1349.8;
SIXTELEKURS;MA0000040339;09/01/2018;208.76;
SIXTELEKURS;MA0000036048;09/01/2018;191.24;
SIXTELEKURS;MA0000030520;05/01/2018;491.99;
SIXTELEKURS;MA0000030553;05/01/2018;4821.56;
SIXTELEKURS;MA0000030553;09/01/2018;4822.36;
SIXTELEKURS;MA0000040271;09/01/2018;173949.75;
SIXTELEKURS;MA0000030645;05/01/2018;8406.78;
SIXTELEKURS;MA0000040180;04/01/2018;170.98;
SIXTELEKURS;MA0000040271;04/01/2018;173901.53;
SIXTELEKURS;MA0000040339;04/01/2018;208.72;
SIXTELEKURS;MA0000030553;03/01/2018;4821.05;
SIXTELEKURS;MA0000036048;03/01/2018;191.17;
SIXTELEKURS;MA0000040156;12/01/2018;838.42;
SIXTELEKURS;MA0000040180;12/01/2018;171.06;
SIXTELEKURS;MA0000040263;12/01/2018;1899.33;
SIXTELEKURS;MA0000040271;12/01/2018;173982.12;
SIXTELEKURS;MA0000040180;09/01/2018;171.02;
SIXTELEKURS;MA0000036659;03/01/2018;1349.36;
SIXTELEKURS;MA0000040339;12/01/2018;208.79;
SIXTELEKURS;MA0000040388;12/01/2018;151.57;
SIXTELEKURS;MA0000040180;02/01/2018;170.95;
SIXTELEKURS;MA0000040180;10/01/2018;171.03;
SIXTELEKURS;MA0000040271;10/01/2018;173959.15;
SIXTELEKURS;MA0000040339;10/01/2018;208.77;
SIXTELEKURS;MA0000040180;03/01/2018;170.94;
SIXTELEKURS;MA0000040271;03/01/2018;173888.41;
SIXTELEKURS;MA0000040339;03/01/2018;208.71;
SIXTELEKURS;MA0000041139;12/01/2018;798.38;
SIXTELEKURS;MA0000030520;12/01/2018;494.18;
SIXTELEKURS;MA0000030553;12/01/2018;4823.12;
SIXTELEKURS;MA0000030645;12/01/2018;8504.4;
SIXTELEKURS;MA0000036048;05/01/2018;191.21;
SIXTELEKURS;MA0000036063;05/01/2018;607.68;
SIXTELEKURS;MA0000030553;25/01/2018;4826.34;
SIXTELEKURS;MA0000036048;25/01/2018;191.41;
SIXTELEKURS;MA0000040180;06/02/2018;171.4;
SIXTELEKURS;MA0000040271;06/02/2018;174261.18;
SIXTELEKURS;MA0000040339;06/02/2018;209;
SIXTELEKURS;MA0000041139;02/02/2018;788.49;
SIXTELEKURS;MA0000036659;25/01/2018;1350.97;
SIXTELEKURS;MA0000030553;31/01/2018;4827.83;
SIXTELEKURS;MA0000036048;31/01/2018;191.5;
SIXTELEKURS;MA0000036659;31/01/2018;1351.41;
SIXTELEKURS;MA0000040180;25/01/2018;171.2;
SIXTELEKURS;MA0000040271;25/01/2018;174123.61;
SIXTELEKURS;MA0000040339;25/01/2018;208.9;
SIXTELEKURS;MA0000030520;02/02/2018;499.86;
SIXTELEKURS;MA0000030553;02/02/2018;4828.49;
SIXTELEKURS;MA0000030645;02/02/2018;8802.84;
SIXTELEKURS;MA0000040180;31/01/2018;171.28;
SIXTELEKURS;MA0000040271;31/01/2018;174188.87;
SIXTELEKURS;MA0000040339;31/01/2018;208.95;
SIXTELEKURS;MA0000036048;02/02/2018;191.56;
SIXTELEKURS;MA0000036063;02/02/2018;636.08;
SIXTELEKURS;MA0000036659;02/02/2018;1351.56;
SIXTELEKURS;MA0000036659;22/01/2018;1350.75;
SIXTELEKURS;MA0000040339;22/01/2018;208.87;
SIXTELEKURS;MA0000036048;22/01/2018;191.37;
SIXTELEKURS;MA0000030553;22/01/2018;4825.52;
SIXTELEKURS;MA0000040271;22/01/2018;174088.61;
SIXTELEKURS;MA0000030553;06/02/2018;4829.5;
SIXTELEKURS;MA0000036048;06/02/2018;191.63;
SIXTELEKURS;MA0000040156;02/02/2018;874.42;
SIXTELEKURS;MA0000040180;02/02/2018;171.35;
SIXTELEKURS;MA0000040180;22/01/2018;171.14;
SIXTELEKURS;MA0000036659;06/02/2018;1351.85;
SIXTELEKURS;MA0000041139;19/01/2018;799.16;
SIXTELEKURS;MA0000040263;02/02/2018;1902.33;
SIXTELEKURS;MA0000040271;02/02/2018;174215.81;
SIXTELEKURS;MA0000040339;02/02/2018;208.97;
SIXTELEKURS;MA0000040388;02/02/2018;151.83;
SIXTELEKURS;MA0000030553;23/01/2018;4825.58;
SIXTELEKURS;MA0000036048;23/01/2018;191.34;
SIXTELEKURS;MA0000040180;05/02/2018;171.41;
SIXTELEKURS;MA0000030553;30/01/2018;4827.63;
SIXTELEKURS;MA0000036048;30/01/2018;191.49;
SIXTELEKURS;MA0000040180;01/02/2018;171.34;
SIXTELEKURS;MA0000030520;26/01/2018;498.24;
SIXTELEKURS;MA0000030553;26/01/2018;4826.65;
SIXTELEKURS;MA0000040339;19/01/2018;208.85;
SIXTELEKURS;MA0000040388;19/01/2018;151.45;
SIXTELEKURS;MA0000040271;01/02/2018;174210.33;
SIXTELEKURS;MA0000040339;01/02/2018;208.96;
SIXTELEKURS;MA0000030645;26/01/2018;8693.98;
SIXTELEKURS;MA0000036659;30/01/2018;1351.34;
SIXTELEKURS;MA0000041139;26/01/2018;802.73;
SIXTELEKURS;MA0000036048;26/01/2018;191.44;
SIXTELEKURS;MA0000036063;26/01/2018;628.69;
SIXTELEKURS;MA0000036659;05/02/2018;1351.78;
SIXTELEKURS;MA0000040339;05/02/2018;208.99;
SIXTELEKURS;MA0000036048;05/02/2018;191.64;
SIXTELEKURS;MA0000030553;05/02/2018;4829.27;
SIXTELEKURS;MA0000030553;24/01/2018;4825.73;
SIXTELEKURS;MA0000036048;24/01/2018;191.37;
SIXTELEKURS;MA0000036659;29/01/2018;1351.26;
SIXTELEKURS;MA0000040339;29/01/2018;208.93;
SIXTELEKURS;MA0000036048;29/01/2018;191.48;
SIXTELEKURS;MA0000030553;29/01/2018;4827.39;
SIXTELEKURS;MA0000040271;29/01/2018;174168.68;
SIXTELEKURS;MA0000040180;30/01/2018;171.27;
SIXTELEKURS;MA0000040271;30/01/2018;174179.25;
SIXTELEKURS;MA0000040339;30/01/2018;208.94;
SIXTELEKURS;MA0000040156;26/01/2018;863.06;
SIXTELEKURS;MA0000040180;26/01/2018;171.23;
SIXTELEKURS;MA0000040263;26/01/2018;1901.78;
SIXTELEKURS;MA0000040271;26/01/2018;174135.24;
SIXTELEKURS;MA0000036659;24/01/2018;1350.89;
SIXTELEKURS;MA0000040339;26/01/2018;208.91;
SIXTELEKURS;MA0000040388;26/01/2018;151.79;
SIXTELEKURS;MA0000040180;29/01/2018;171.26;
SIXTELEKURS;MA0000036659;23/01/2018;1350.82;
SIXTELEKURS;MA0000040180;24/01/2018;171.16;
SIXTELEKURS;MA0000040271;24/01/2018;174098.59;
SIXTELEKURS;MA0000040339;24/01/2018;208.89;
SIXTELEKURS;MA0000040271;05/02/2018;174250.45;
SIXTELEKURS;MA0000040180;23/01/2018;171.12;
SIXTELEKURS;MA0000040271;23/01/2018;174092;
SIXTELEKURS;MA0000040339;23/01/2018;208.88;
SIXTELEKURS;MA0000030553;01/02/2018;4828.34;
SIXTELEKURS;MA0000036048;01/02/2018;191.56;
SIXTELEKURS;MA0000036659;01/02/2018;1351.48;
SIXTELEKURS;MA0000036659;26/01/2018;1351.04;
SIXTELEKURS;MA0000040180;19/02/2018;171.59;
SIXTELEKURS;MA0000040339;08/02/2018;209.02;
SIXTELEKURS;MA0000040156;09/02/2018;867.01;
SIXTELEKURS;MA0000040180;09/02/2018;171.46;
SIXTELEKURS;MA0000040263;09/02/2018;1905.39;
SIXTELEKURS;MA0000040271;09/02/2018;174295.56;
SIXTELEKURS;MA0000040339;09/02/2018;209.03;
SIXTELEKURS;MA0000040388;09/02/2018;152.02;
SIXTELEKURS;MA0000036063;16/02/2018;630.99;
SIXTELEKURS;MA0000040156;16/02/2018;865.74;
SIXTELEKURS;MA0000030520;16/02/2018;499.69;
SIXTELEKURS;MA0000041139;16/02/2018;801.3;
SIXTELEKURS;MA0000036659;16/02/2018;1352.58;
SIXTELEKURS;MA0000040339;16/02/2018;209.09;
SIXTELEKURS;MA0000036048;16/02/2018;191.8;
SIXTELEKURS;MA0000030645;16/02/2018;8733.94;
SIXTELEKURS;MA0000040263;16/02/2018;1907.57;
SIXTELEKURS;MA0000030553;16/02/2018;4832.15;
SIXTELEKURS;MA0000030520;09/02/2018;498.8;
SIXTELEKURS;MA0000030553;09/02/2018;4830.27;
SIXTELEKURS;MA0000040271;16/02/2018;174378.88;
SIXTELEKURS;MA0000030645;09/02/2018;8705.55;
SIXTELEKURS;MA0000041139;09/02/2018;788.62;
SIXTELEKURS;MA0000030553;12/02/2018;4831.19;
SIXTELEKURS;MA0000036048;12/02/2018;191.74;
SIXTELEKURS;MA0000036659;12/02/2018;1352.29;
SIXTELEKURS;MA0000036048;09/02/2018;191.69;
SIXTELEKURS;MA0000036063;09/02/2018;629.01;
SIXTELEKURS;MA0000040180;16/02/2018;171.57;
SIXTELEKURS;MA0000036659;09/02/2018;1352.07;
SIXTELEKURS;MA0000040180;12/02/2018;171.51;
SIXTELEKURS;MA0000040271;12/02/2018;174335.74;
SIXTELEKURS;MA0000040339;12/02/2018;209.05;
SIXTELEKURS;MA0000040388;16/02/2018;152.18;
SIXTELEKURS;MA0000030553;13/02/2018;4831.41;
SIXTELEKURS;MA0000036048;13/02/2018;191.75;
SIXTELEKURS;MA0000040180;13/02/2018;171.52;
SIXTELEKURS;MA0000040271;13/02/2018;174345.57;
SIXTELEKURS;MA0000040339;13/02/2018;209.06;
SIXTELEKURS;MA0000036048;14/02/2018;191.76;
SIXTELEKURS;MA0000030553;08/02/2018;4830.2;
SIXTELEKURS;MA0000036659;14/02/2018;1352.43;
SIXTELEKURS;MA0000036659;19/02/2018;1352.8;
SIXTELEKURS;MA0000040339;19/02/2018;209.11;
SIXTELEKURS;MA0000036048;19/02/2018;191.83;
SIXTELEKURS;MA0000030553;19/02/2018;4832.89;
SIXTELEKURS;MA0000040271;19/02/2018;174411.35;
SIXTELEKURS;MA0000036048;08/02/2018;191.68;
SIXTELEKURS;MA0000036659;08/02/2018;1352;
SIXTELEKURS;MA0000040180;08/02/2018;171.45;
SIXTELEKURS;MA0000040271;08/02/2018;174292.29;
SIXTELEKURS;MA0000040180;07/02/2018;171.45;
SIXTELEKURS;MA0000040271;07/02/2018;174281.41;
SIXTELEKURS;MA0000040339;07/02/2018;209.01;
SIXTELEKURS;MA0000036659;20/02/2018;1352.87;
SIXTELEKURS;MA0000040339;20/02/2018;209.12;
SIXTELEKURS;MA0000036048;20/02/2018;191.86;
SIXTELEKURS;MA0000030553;20/02/2018;4833.2;
SIXTELEKURS;MA0000036659;22/02/2018;1353.02;
SIXTELEKURS;MA0000040339;22/02/2018;209.14;
SIXTELEKURS;MA0000036048;22/02/2018;191.87;
SIXTELEKURS;MA0000030553;22/02/2018;4833.68;
SIXTELEKURS;MA0000030553;15/02/2018;4831.9;
SIXTELEKURS;MA0000036048;15/02/2018;191.78;
SIXTELEKURS;MA0000040271;20/02/2018;174425.03;
SIXTELEKURS;MA0000040180;20/02/2018;171.64;
SIXTELEKURS;MA0000040271;22/02/2018;174447.2;
SIXTELEKURS;MA0000036659;15/02/2018;1352.5;
SIXTELEKURS;MA0000040180;15/02/2018;171.56;
SIXTELEKURS;MA0000040271;15/02/2018;174368.72;
SIXTELEKURS;MA0000040339;15/02/2018;209.08;
SIXTELEKURS;MA0000030553;14/02/2018;4831.65;
SIXTELEKURS;MA0000036659;13/02/2018;1352.36;
SIXTELEKURS;MA0000040180;22/02/2018;171.64;
SIXTELEKURS;MA0000036659;21/02/2018;1352.95;
SIXTELEKURS;MA0000040339;21/02/2018;209.13;
SIXTELEKURS;MA0000036048;21/02/2018;191.87;
SIXTELEKURS;MA0000030553;21/02/2018;4833.46;
SIXTELEKURS;MA0000040271;21/02/2018;174436.04;
SIXTELEKURS;MA0000040180;14/02/2018;171.53;
SIXTELEKURS;MA0000040271;14/02/2018;174356.25;
SIXTELEKURS;MA0000040339;14/02/2018;209.07;
SIXTELEKURS;MA0000040180;21/02/2018;171.64;
SIXTELEKURS;MA0000030553;07/02/2018;4829.96;
SIXTELEKURS;MA0000036048;07/02/2018;191.67;
SIXTELEKURS;MA0000036659;07/02/2018;1351.93;
SIXTELEKURS;MA0000036048;09/03/2018;192.13;
SIXTELEKURS;MA0000036063;09/03/2018;632.89;
SIXTELEKURS;MA0000040156;02/03/2018;865.09;
SIXTELEKURS;MA0000040180;02/03/2018;171.81;
SIXTELEKURS;MA0000040263;02/03/2018;1910.46;
SIXTELEKURS;MA0000040271;02/03/2018;174546.19;
SIXTELEKURS;MA0000040339;02/03/2018;209.21;
SIXTELEKURS;MA0000040388;02/03/2018;152.53;
SIXTELEKURS;MA0000036659;09/03/2018;1354.12;
SIXTELEKURS;MA0000030553;26/02/2018;4834.67;
SIXTELEKURS;MA0000036048;26/02/2018;191.93;
SIXTELEKURS;MA0000041139;02/03/2018;790.06;
SIXTELEKURS;MA0000036659;26/02/2018;1353.32;
SIXTELEKURS;MA0000030553;06/03/2018;4837.21;
SIXTELEKURS;MA0000036048;06/03/2018;192.08;
SIXTELEKURS;MA0000040180;26/02/2018;171.7;
SIXTELEKURS;MA0000040271;26/02/2018;174488.56;
SIXTELEKURS;MA0000040339;26/02/2018;209.17;
SIXTELEKURS;MA0000036659;06/03/2018;1353.9;
SIXTELEKURS;MA0000040180;06/03/2018;171.86;
SIXTELEKURS;MA0000040271;06/03/2018;174604.95;
SIXTELEKURS;MA0000040339;06/03/2018;209.25;
SIXTELEKURS;MA0000040156;09/03/2018;866.15;
SIXTELEKURS;MA0000030553;12/03/2018;4838.9;
SIXTELEKURS;MA0000036048;12/03/2018;192.16;
SIXTELEKURS;MA0000040180;09/03/2018;171.9;
SIXTELEKURS;MA0000040263;09/03/2018;1911.81;
SIXTELEKURS;MA0000040271;09/03/2018;174645.3;
SIXTELEKURS;MA0000040339;09/03/2018;209.28;
SIXTELEKURS;MA0000040388;09/03/2018;152.61;
SIXTELEKURS;MA0000030553;28/02/2018;4835.28;
SIXTELEKURS;MA0000036048;28/02/2018;191.97;
SIXTELEKURS;MA0000036659;12/03/2018;1354.34;
SIXTELEKURS;MA0000036659;28/02/2018;1353.47;
SIXTELEKURS;MA0000030520;09/03/2018;500.62;
SIXTELEKURS;MA0000030553;09/03/2018;4838.2;
SIXTELEKURS;MA0000030645;09/03/2018;8760.97;
SIXTELEKURS;MA0000041139;09/03/2018;789.03;
SIXTELEKURS;MA0000040180;28/02/2018;171.74;
SIXTELEKURS;MA0000040271;28/02/2018;174514.95;
SIXTELEKURS;MA0000040339;28/02/2018;209.19;
SIXTELEKURS;MA0000040180;12/03/2018;171.94;
SIXTELEKURS;MA0000040271;12/03/2018;174674.63;
SIXTELEKURS;MA0000040339;12/03/2018;209.31;
SIXTELEKURS;MA0000036048;23/02/2018;191.89;
SIXTELEKURS;MA0000036063;23/02/2018;632.3;
SIXTELEKURS;MA0000041139;23/02/2018;793.68;
SIXTELEKURS;MA0000036659;05/03/2018;1353.83;
SIXTELEKURS;MA0000040339;05/03/2018;209.24;
SIXTELEKURS;MA0000036048;05/03/2018;192.05;
SIXTELEKURS;MA0000030553;05/03/2018;4836.74;
SIXTELEKURS;MA0000040271;05/03/2018;174586.84;
SIXTELEKURS;MA0000040180;05/03/2018;171.83;
SIXTELEKURS;MA0000030553;27/02/2018;4835.04;
SIXTELEKURS;MA0000036048;27/02/2018;191.96;
SIXTELEKURS;MA0000030553;07/03/2018;4837.65;
SIXTELEKURS;MA0000036659;27/02/2018;1353.39;
SIXTELEKURS;MA0000036048;07/03/2018;192.09;
SIXTELEKURS;MA0000040180;27/02/2018;171.74;
SIXTELEKURS;MA0000040271;27/02/2018;174503.94;
SIXTELEKURS;MA0000040339;27/02/2018;209.19;
SIXTELEKURS;MA0000030520;02/03/2018;500.32;
SIXTELEKURS;MA0000030553;02/03/2018;4835.8;
SIXTELEKURS;MA0000030645;02/03/2018;8727.02;
SIXTELEKURS;MA0000040271;07/03/2018;174617.45;
SIXTELEKURS;MA0000040339;07/03/2018;209.27;
SIXTELEKURS;MA0000040180;08/03/2018;171.82;
SIXTELEKURS;MA0000040271;08/03/2018;174629.27;
SIXTELEKURS;MA0000040339;08/03/2018;209.28;
SIXTELEKURS;MA0000030553;01/03/2018;4835.43;
SIXTELEKURS;MA0000036048;01/03/2018;191.97;
SIXTELEKURS;MA0000030553;08/03/2018;4837.9;
SIXTELEKURS;MA0000036048;08/03/2018;192.06;
SIXTELEKURS;MA0000036048;02/03/2018;192.01;
SIXTELEKURS;MA0000036063;02/03/2018;630.23;
SIXTELEKURS;MA0000036659;07/03/2018;1353.98;
SIXTELEKURS;MA0000036659;01/03/2018;1353.54;
SIXTELEKURS;MA0000036659;08/03/2018;1354.05;
SIXTELEKURS;MA0000040180;07/03/2018;171.87;
SIXTELEKURS;MA0000036659;02/03/2018;1353.61;
SIXTELEKURS;MA0000040180;01/03/2018;171.75;
SIXTELEKURS;MA0000040271;01/03/2018;174532.22;
SIXTELEKURS;MA0000040339;01/03/2018;209.2;
SIXTELEKURS;MA0000030520;23/02/2018;500.47;
SIXTELEKURS;MA0000030553;23/02/2018;4833.93;
SIXTELEKURS;MA0000030645;23/02/2018;8752.48;
SIXTELEKURS;MA0000040156;23/02/2018;866.21;
SIXTELEKURS;MA0000040180;23/02/2018;171.67;
SIXTELEKURS;MA0000040263;23/02/2018;1908.97;
SIXTELEKURS;MA0000040271;23/02/2018;174455.73;
SIXTELEKURS;MA0000040339;23/02/2018;209.15;
SIXTELEKURS;MA0000040388;23/02/2018;152.41;
SIXTELEKURS;MA0000036659;23/02/2018;1353.1;
SIXTELEKURS;MA0000036048;27/03/2018;192.32;
SIXTELEKURS;MA0000036659;27/03/2018;1355.43;
SIXTELEKURS;MA0000040180;19/03/2018;172;
SIXTELEKURS;MA0000030553;22/03/2018;4841.41;
SIXTELEKURS;MA0000036048;22/03/2018;192.27;
SIXTELEKURS;MA0000040271;19/03/2018;174749.75;
SIXTELEKURS;MA0000040339;19/03/2018;209.37;
SIXTELEKURS;MA0000040180;21/03/2018;172.02;
SIXTELEKURS;MA0000036659;22/03/2018;1355.07;
SIXTELEKURS;MA0000036659;16/03/2018;1354.63;
SIXTELEKURS;MA0000030520;16/03/2018;499.9;
SIXTELEKURS;MA0000030553;16/03/2018;4840.01;
SIXTELEKURS;MA0000040180;22/03/2018;172.04;
SIXTELEKURS;MA0000040271;22/03/2018;174783.46;
SIXTELEKURS;MA0000040339;22/03/2018;209.4;
SIXTELEKURS;MA0000030645;16/03/2018;8719.22;
SIXTELEKURS;MA0000036048;16/03/2018;192.21;
SIXTELEKURS;MA0000036063;16/03/2018;630.03;
SIXTELEKURS;MA0000030553;20/03/2018;4840.93;
SIXTELEKURS;MA0000036048;20/03/2018;192.25;
SIXTELEKURS;MA0000041139;23/03/2018;801.48;
SIXTELEKURS;MA0000040156;16/03/2018;864.5;
SIXTELEKURS;MA0000040180;16/03/2018;171.98;
SIXTELEKURS;MA0000040263;16/03/2018;1913.04;
SIXTELEKURS;MA0000040271;16/03/2018;174722.98;
SIXTELEKURS;MA0000040339;16/03/2018;209.35;
SIXTELEKURS;MA0000036659;20/03/2018;1354.93;
SIXTELEKURS;MA0000036659;26/03/2018;1355.36;
SIXTELEKURS;MA0000040339;26/03/2018;209.43;
SIXTELEKURS;MA0000036048;26/03/2018;192.32;
SIXTELEKURS;MA0000030553;26/03/2018;4842.37;
SIXTELEKURS;MA0000040271;26/03/2018;174825.61;
SIXTELEKURS;MA0000040388;16/03/2018;152.71;
SIXTELEKURS;MA0000040180;20/03/2018;172.01;
